iter	Passed	Remaining
0	1	138
1	2	130
2	3	127
3	5	120
4	6	119
5	7	116
6	8	115
7	9	113
8	11	111
9	12	110
10	13	108
11	14	107
12	15	105
13	17	104
14	18	103
15	19	102
16	20	100
17	22	100
18	23	99
19	24	98
20	25	96
21	26	94
22	27	93
23	29	92
24	30	91
25	31	89
26	32	88
27	34	87
28	35	86
29	36	85
30	37	83
31	38	82
32	40	81
33	41	79
34	42	78
35	42	76
36	43	74
37	44	73
38	45	71
39	46	70
40	47	68
41	48	66
42	49	65
43	50	63
44	51	62
45	52	61
46	53	60
47	54	58
48	55	57
49	56	56
50	57	55
51	58	54
52	59	52
53	60	51
54	61	50
55	62	49
56	63	47
57	64	46
58	65	45
59	66	44
60	67	43
61	68	42
62	69	40
63	70	39
64	71	38
65	72	37
66	73	36
67	74	34
68	75	33
69	76	32
70	77	31
71	78	30
72	78	29
73	79	28
74	80	26
75	81	25
76	82	24
77	83	23
78	84	22
79	85	21
80	85	20
81	86	19
82	87	17
83	88	16
84	89	15
85	89	14
86	90	13
87	91	12
88	92	11
89	93	10
90	93	9
91	94	8
92	95	7
93	96	6
94	97	5
95	97	4
96	98	3
97	99	2
98	100	1
99	100	0
